Latitude,Longitude,RSSI
50.957600,-1.113300,-99
50.974300,-1.336600,-88
50.973500,-1.367500,-90
50.954400,-1.360100,-86
50.915400,-1.329000,-98
50.970800,-1.350300,-93
50.916300,-1.280100,-99
50.914600,-1.336800,-96
50.916300,-1.280400,-99
50.934700,-1.252600,-98
50.967300,-1.298200,-92
50.985800,-1.305700,-100
50.976600,-1.349700,-89
50.925200,-1.186700,-93
50.926500,-1.275100,-98
50.940600,-1.377800,-99
50.962800,-1.283300,-86
50.973600,-1.350600,-90
50.935900,-1.284900,-80
50.953600,-1.403400,-90
50.965100,-1.294600,-86
50.989900,-1.280800,-91
50.966100,-1.311700,-90
50.962100,-1.267700,-88
50.893600,-1.263100,-98
50.967300,-1.328100,-83
50.926500,-1.243100,-86
50.915400,-1.352300,-97
50.967900,-1.279700,-90
50.988200,-1.340700,-93
50.945700,-1.372900,-95
50.943500,-1.252500,-95
50.934600,-1.236200,-86
50.977000,-1.349500,-96
50.963600,-1.290800,-83
50.914400,-1.313200,-99
50.945200,-1.260900,-93
50.936100,-1.261600,-87
50.960500,-1.257600,-94
50.998500,-1.261200,-93
50.926000,-1.310700,-90
50.927600,-1.232900,-91
50.979200,-1.304300,-97
50.960500,-1.257800,-89
50.928500,-1.344300,-91
50.955800,-1.294800,-82
50.912300,-1.302600,-100
50.922100,-1.347600,-98
50.915000,-1.330500,-100
50.932800,-1.237800,-90
50.935200,-1.251600,-93
50.963700,-1.411200,-94
50.970200,-1.341800,-89
50.961900,-1.266800,-85
50.992700,-1.321500,-95
51.006900,-1.434100,-100
50.985100,-1.303600,-96
50.894800,-1.209800,-94
50.918400,-1.248500,-95
50.919700,-1.192800,-98
50.928500,-1.340000,-95
50.964400,-1.300800,-86
50.976100,-1.302700,-85
50.935900,-1.258900,-90
50.920900,-1.276300,-100
50.967200,-1.318500,-86
50.971600,-1.254000,-96
50.929800,-1.281900,-87
50.923300,-1.355700,-91
50.988000,-1.387100,-100
50.997200,-1.149700,-86
50.966300,-1.283400,-87
50.964700,-1.283400,-95
50.970100,-1.343100,-88
50.966700,-1.313500,-89
50.972100,-1.369000,-98
50.967200,-1.317300,-85
50.941500,-1.266800,-92
50.923100,-1.189000,-99
50.883400,-1.204100,-100
